num,County
1151,Jefferson Davis
1152,Jenkins
1153,Jennings
1154,Jerauld
1155,Jerome
1156,Jersey
1157,Jersey City
1158,Jessamine
1159,Jewell
1160,Jim Hogg
1161,Jim Wells
1162,Jo Daviess
1163,Job
1164,Johnson
1165,Johnston
1166,Jones
1167,Josephine
1168,Juab
1169,Judith Basin
1170,Julian
1171,Juneau
1172,Juneau City and Boroug
1173,Juniata
1174,Kalamazoo
1175,Kalkaska
1176,Kanabec
1177,Kanawha
1178,Kandiyohi
1179,Kane
1180,Kankakee
1181,Karlin
1182,Karnes
1183,Kauai
1184,Kaufman
1185,Kay
1186,Kearney
1187,Kearny
1188,Keeline
1189,Keith
1190,Kelly Lake
1191,Kelsey
1192,Kelso
1193,Kemper
1194,Kenai Peninsula
1195,Kendall
1196,Kenedy
1197,Kennebec
1198,Kenner
1199,Kennesaw
1200,Kenosha
1201,Kent
1202,Kenton
1203,Kentuck
1204,Keokuk
1205,Kern
1206,Kerr
1207,Kershaw
1208,Ketchikan Gateway
1209,Kettle
1210,Kewaunee
1211,Keweenaw
1212,Keya Paha
1213,Kidder
1214,Kimball
1215,Kimble
1216,King
1217,King George
1218,King William
1219,King and Queen
1220,Kingfisher
1221,Kingman
1222,Kings
1223,Kingsbury
1224,Kingston
1225,Kinross
1226,Kiowa
1227,Kirby
1228,Kit Carson
1229,Kitsap
1230,Kittitas
1231,Kittson
1232,Klamath
1233,Kleberg
1234,Klickitat
1235,Kline
1236,Klossner
1237,Knapp Creek
1238,Knott
1239,Knox
1240,Knoxville
1241,Kodiak Island
1242,Kona
1243,Kongiganak
1244,Koochiching
1245,Kootenai
1246,Kosciusko
1247,Kossuth
1248,La Crosse
1249,La Paz
1250,La Plata
1251,La Quinta
1252,La Salle
1253,LaGrange
1254,LaMoure
1255,LaPorte
1256,Labette
1257,Lac qui Parle
1258,Lackawanna
1259,Laclede
1260,Lafayette
1261,Lafourche
1262,Lake
1263,Lake Itasca
1264,Lake Worth
1265,Lake and Peninsula
1266,Lake of the Woods
1267,Lakeland
1268,Lakeview
1269,Lakewood
1270,Lamar
1271,Lamb
1272,Lamero
1273,Lamison
1274,Lamoille
1275,Lampasas
1276,Lancaster
1277,Land O Lakes
1278,Lander
1279,Landess
1280,Lane
1281,Langlade
1282,Lanier
1283,Lansing
1284,Lapeer
1285,Laporte
1286,Laramie
1287,Largo
1288,Larimer
1289,Larto
1290,Larue
1291,Las Animas
1292,Las Vegas
1293,Lasker
1294,Lassen
1295,Latah
1296,Latimer
1297,Latour
1298,Lauderdale
1299,Laurel
1300,Laurens
1301,Lavaca
1302,Lawrence
1303,Lawrenceville
1304,Lawyersville
1305,Le Flore
1306,Le Sueur
1307,Lea
1308,Leake
1309,Leander
1310,Leary
1311,Leatherwood
1312,Leavenworth
1313,Lebanon
1314,Lee
1315,Lee Mont
1316,Leeco
1317,Leelanau
1318,Leesburg
1319,Leflore
1320,Lehigh
1321,Lehigh Acres
1322,Leith
1323,Lemhi
1324,Lempster
1325,Lenawee
1326,Lenoir
1327,Lenox
1328,Leon
1329,Leslie
1330,Letcher
1331,Levy
1332,Lew Beach
1333,Lewis
1334,Lewis and Clark
1335,Lexington
1336,Liberty
1337,Licking
1338,Lilburn
1339,Lille
1340,Lily
1341,Lima
1342,Limestone
